,Mois,Biathlon: (France),mois_fr
0,2004-01-01,6,janv. 2004
1,2004-02-01,3,févr. 2004
2,2004-03-01,1,mars 2004
3,2004-04-01,0,avr. 2004
4,2004-05-01,2,mai 2004
5,2004-06-01,1,juin 2004
6,2004-07-01,0,juil. 2004
7,2004-08-01,1,août 2004
8,2004-09-01,0,sept. 2004
9,2004-10-01,0,oct. 2004
10,2004-11-01,2,nov. 2004
11,2004-12-01,4,déc. 2004
12,2005-01-01,3,janv. 2005
13,2005-02-01,4,févr. 2005
14,2005-03-01,5,mars 2005
15,2005-04-01,2,avr. 2005
16,2005-05-01,1,mai 2005
17,2005-06-01,0,juin 2005
18,2005-07-01,1,juil. 2005
19,2005-08-01,1,août 2005
20,2005-09-01,1,sept. 2005
21,2005-10-01,1,oct. 2005
22,2005-11-01,6,nov. 2005
23,2005-12-01,6,déc. 2005
24,2006-01-01,6,janv. 2006
25,2006-02-01,13,févr. 2006
26,2006-03-01,6,mars 2006
27,2006-04-01,1,avr. 2006
28,2006-05-01,1,mai 2006
29,2006-06-01,1,juin 2006
30,2006-07-01,1,juil. 2006
31,2006-08-01,1,août 2006
32,2006-09-01,1,sept. 2006
33,2006-10-01,1,oct. 2006
34,2006-11-01,1,nov. 2006
35,2006-12-01,3,déc. 2006
36,2007-01-01,4,janv. 2007
37,2007-02-01,4,févr. 2007
38,2007-03-01,4,mars 2007
39,2007-04-01,1,avr. 2007
40,2007-05-01,1,mai 2007
41,2007-06-01,1,juin 2007
42,2007-07-01,1,juil. 2007
43,2007-08-01,1,août 2007
44,2007-09-01,2,sept. 2007
45,2007-10-01,1,oct. 2007
46,2007-11-01,1,nov. 2007
47,2007-12-01,3,déc. 2007
48,2008-01-01,4,janv. 2008
49,2008-02-01,3,févr. 2008
50,2008-03-01,2,mars 2008
51,2008-04-01,1,avr. 2008
52,2008-05-01,1,mai 2008
53,2008-06-01,1,juin 2008
54,2008-07-01,1,juil. 2008
55,2008-08-01,1,août 2008
56,2008-09-01,1,sept. 2008
57,2008-10-01,1,oct. 2008
58,2008-11-01,1,nov. 2008
59,2008-12-01,3,déc. 2008
60,2009-01-01,3,janv. 2009
61,2009-02-01,4,févr. 2009
62,2009-03-01,3,mars 2009
63,2009-04-01,1,avr. 2009
64,2009-05-01,1,mai 2009
65,2009-06-01,1,juin 2009
66,2009-07-01,1,juil. 2009
67,2009-08-01,1,août 2009
68,2009-09-01,1,sept. 2009
69,2009-10-01,1,oct. 2009
70,2009-11-01,1,nov. 2009
71,2009-12-01,2,déc. 2009
72,2010-01-01,3,janv. 2010
73,2010-02-01,13,févr. 2010
74,2010-03-01,4,mars 2010
75,2010-04-01,1,avr. 2010
76,2010-05-01,1,mai 2010
77,2010-06-01,1,juin 2010
78,2010-07-01,1,juil. 2010
79,2010-08-01,1,août 2010
80,2010-09-01,1,sept. 2010
81,2010-10-01,1,oct. 2010
82,2010-11-01,1,nov. 2010
83,2010-12-01,3,déc. 2010
84,2011-01-01,3,janv. 2011
85,2011-02-01,4,févr. 2011
86,2011-03-01,5,mars 2011
87,2011-04-01,1,avr. 2011
88,2011-05-01,1,mai 2011
89,2011-06-01,1,juin 2011
90,2011-07-01,1,juil. 2011
91,2011-08-01,1,août 2011
92,2011-09-01,1,sept. 2011
93,2011-10-01,1,oct. 2011
94,2011-11-01,2,nov. 2011
95,2011-12-01,4,déc. 2011
96,2012-01-01,4,janv. 2012
97,2012-02-01,3,févr. 2012
98,2012-03-01,7,mars 2012
99,2012-04-01,1,avr. 2012
100,2012-05-01,1,mai 2012
101,2012-06-01,1,juin 2012
102,2012-07-01,1,juil. 2012
103,2012-08-01,1,août 2012
104,2012-09-01,1,sept. 2012
105,2012-10-01,1,oct. 2012
106,2012-11-01,2,nov. 2012
107,2012-12-01,4,déc. 2012
108,2013-01-01,4,janv. 2013
109,2013-02-01,7,févr. 2013
110,2013-03-01,4,mars 2013
111,2013-04-01,1,avr. 2013
112,2013-05-01,1,mai 2013
113,2013-06-01,1,juin 2013
114,2013-07-01,1,juil. 2013
115,2013-08-01,1,août 2013
116,2013-09-01,1,sept. 2013
117,2013-10-01,1,oct. 2013
118,2013-11-01,3,nov. 2013
119,2013-12-01,7,déc. 2013
120,2014-01-01,5,janv. 2014
121,2014-02-01,35,févr. 2014
122,2014-03-01,5,mars 2014
123,2014-04-01,1,avr. 2014
124,2014-05-01,1,mai 2014
125,2014-06-01,1,juin 2014
126,2014-07-01,1,juil. 2014
127,2014-08-01,1,août 2014
128,2014-09-01,1,sept. 2014
129,2014-10-01,1,oct. 2014
130,2014-11-01,2,nov. 2014
131,2014-12-01,6,déc. 2014
132,2015-01-01,6,janv. 2015
133,2015-02-01,6,févr. 2015
134,2015-03-01,14,mars 2015
135,2015-04-01,1,avr. 2015
136,2015-05-01,1,mai 2015
137,2015-06-01,1,juin 2015
138,2015-07-01,1,juil. 2015
139,2015-08-01,1,août 2015
140,2015-09-01,1,sept. 2015
141,2015-10-01,2,oct. 2015
142,2015-11-01,2,nov. 2015
143,2015-12-01,13,déc. 2015
144,2016-01-01,15,janv. 2016
145,2016-02-01,14,févr. 2016
146,2016-03-01,43,mars 2016
147,2016-04-01,2,avr. 2016
148,2016-05-01,1,mai 2016
149,2016-06-01,1,juin 2016
150,2016-07-01,1,juil. 2016
151,2016-08-01,1,août 2016
152,2016-09-01,1,sept. 2016
153,2016-10-01,1,oct. 2016
154,2016-11-01,7,nov. 2016
155,2016-12-01,24,déc. 2016
156,2017-01-01,32,janv. 2017
157,2017-02-01,42,févr. 2017
158,2017-03-01,27,mars 2017
159,2017-04-01,2,avr. 2017
160,2017-05-01,1,mai 2017
161,2017-06-01,1,juin 2017
162,2017-07-01,1,juil. 2017
163,2017-08-01,2,août 2017
164,2017-09-01,2,sept. 2017
165,2017-10-01,3,oct. 2017
166,2017-11-01,12,nov. 2017
167,2017-12-01,36,déc. 2017
168,2018-01-01,49,janv. 2018
169,2018-02-01,68,févr. 2018
170,2018-03-01,50,mars 2018
171,2018-04-01,3,avr. 2018
172,2018-05-01,2,mai 2018
173,2018-06-01,2,juin 2018
174,2018-07-01,2,juil. 2018
175,2018-08-01,2,août 2018
176,2018-09-01,3,sept. 2018
177,2018-10-01,4,oct. 2018
178,2018-11-01,7,nov. 2018
179,2018-12-01,54,déc. 2018
180,2019-01-01,50,janv. 2019
181,2019-02-01,41,févr. 2019
182,2019-03-01,61,mars 2019
183,2019-04-01,2,avr. 2019
184,2019-05-01,2,mai 2019
185,2019-06-01,2,juin 2019
186,2019-07-01,2,juil. 2019
187,2019-08-01,3,août 2019
188,2019-09-01,3,sept. 2019
189,2019-10-01,4,oct. 2019
190,2019-11-01,13,nov. 2019
191,2019-12-01,71,déc. 2019
192,2020-01-01,75,janv. 2020
193,2020-02-01,100,févr. 2020
194,2020-03-01,44,mars 2020
195,2020-04-01,3,avr. 2020
196,2020-05-01,2,mai 2020
197,2020-06-01,2,juin 2020
198,2020-07-01,2,juil. 2020
199,2020-08-01,2,août 2020
200,2020-09-01,3,sept. 2020
201,2020-10-01,3,oct. 2020
202,2020-11-01,15,nov. 2020
203,2020-12-01,47,déc. 2020
204,2021-01-01,63,janv. 2021
205,2021-02-01,80,févr. 2021
206,2021-03-01,25,mars 2021
