,Rank,ResultOrder,IBUId,Name,ShortName,Nat,Score,Diff,RnkDiff,Groups,ski,shoot,standing,prone,shoot_demeaned,Rank_lettres
0,1,1,BTNOR22105199001,ECKHOFF Tiril,ECKHOFF T.,NOR,923,,,,5,85,84,86,3.2111111111111086,Première
1,2,2,BTNOR20712199001,ROEISELAND Marte Olsbu,ROEISELAND M.,NOR,843,,,,5,86,82,90,4.211111111111109,Seconde
2,3,3,BTSWE20211199501,OEBERG Hanna,OEBERG H.,SWE,798,,,,3,88,88,88,6.211111111111109,Troisieme
3,4,4,BTGER21103199401,PREUSS Franziska,PREUSS F.,GER,712,,-2.0,,3,87,80,94,5.211111111111109,Autres
4,5,5,BTITA20304199001,WIERER Dorothea,WIERER D.,ITA,686,,,,3,88,85,91,6.211111111111109,Autres
5,6,6,BTAUT21612199301,HAUSER Lisa Theresa,HAUSER L.,AUT,682,,2.0,,3,87,85,89,5.211111111111109,Autres
6,7,7,BTFRA21202199301,CHEVALIER-BOUCHET Anais,CHEVALIER-BOUCHET A.,FRA,588,,,,4,80,80,80,-1.7888888888888914,Francaise
7,8,8,BTBLR20501199601,ALIMBEKAVA Dzinara,ALIMBEKAVA D.,BLR,561,,,U25 ,3,84,87,82,2.2111111111111086,Autres
8,9,9,BTCZE20301199701,DAVIDOVA Marketa,DAVIDOVA M.,CZE,554,,,U25 ,4,83,78,88,1.2111111111111086,Autres
9,10,10,BTGER22010198801,HERRMANN Denise,HERRMANN D.,GER,551,,-2.0,,4,82,78,85,0.21111111111110858,Autres
10,11,11,BTNOR22309199601,TANDREVOLD Ingrid Landmark,TANDREVOLD I.,NOR,546,,,U25 ,4,85,76,93,3.2111111111111086,Autres
11,12,12,BTSWE22602199901,OEBERG Elvira,OEBERG E.,SWE,522,,2.0,U25 ,3,84,83,85,2.2111111111111086,Autres
12,13,13,BTSWE22706199401,PERSSON Linn,PERSSON L.,SWE,494,,,,2,86,81,91,4.211111111111109,Autres
13,14,14,BTFRA20910199601,SIMON Julia,SIMON J.,FRA,466,,,U25 ,3,78,81,74,-3.7888888888888914,Francaise
14,15,15,BTFRA20407199601,BRAISAZ-BOUCHET Justine,BRAISAZ-BOUCHET J.,FRA,423,,,U25 ,4,79,74,84,-2.7888888888888914,Francaise
15,16,16,BTFRA21505198701,BESCOND Anais,BESCOND A.,FRA,395,,-1.0,,2,85,81,88,3.2111111111111086,Francaise
16,17,17,BTRUS22202199401,MIRONOVA Svetlana,MIRONOVA S.,RUS,382,,-1.0,,3,80,75,86,-1.7888888888888914,Autres
17,18,18,BTITA20402199501,VITTOZZI Lisa,VITTOZZI L.,ITA,379,,2.0,,2,79,84,73,-2.7888888888888914,Autres
18,19,19,BTUKR21909199001,DZHIMA Yuliia,DZHIMA Y.,UKR,350,,-1.0,,2,87,80,94,5.211111111111109,Autres
19,20,20,BTCAN20209199101,LUNDER Emma,LUNDER E.,CAN,324,,1.0,,0,88,90,86,6.211111111111109,Autres
20,21,21,BTNOR20601199501,KNOTTEN Karoline Offigstad,KNOTTEN K.,NOR,311,,,,0,92,90,93,10.211111111111109,Autres
21,22,22,BTGER22403199201,HINZ Vanessa,HINZ V.,GER,303,,-2.0,,1,89,82,95,7.211111111111109,Autres
22,23,23,BTRUS20803199401,KAISHEVA Uliana,KAISHEVA U.,RUS,295,,,,1,84,84,84,2.2111111111111086,Autres
23,24,24,BTGER21606199601,HETTICH Janina,HETTICH J.,GER,293,,2.0,U25 ,0,90,85,96,8.211111111111109,Autres
24,25,25,BTAUT20301199401,ZDOUC Dunja,ZDOUC D.,AUT,290,,,,0,90,88,93,8.211111111111109,Autres
25,26,26,BTSWE22803199001,BRORSSON Mona,BRORSSON M.,SWE,240,,,,0,85,77,92,3.2111111111111086,Autres
26,27,27,BTBLR22801199601,BLASHKO Darya,BLASHKO D.,UKR,238,,,U25 ,0,88,88,89,6.211111111111109,Autres
27,28,28,BTBLR21602199601,SOLA Hanna,SOLA H.,BLR,221,,-7.0,U25 ,4,69,67,71,-12.788888888888891,Autres
28,29,29,BTSUI20107199501,HAECKI Lena,HAECKI L.,SUI,212,,1.0,,2,81,79,84,-0.7888888888888914,Autres
29,30,30,BTRUS22803199502,KRUCHINKINA Elena,KRUCHINKINA E.,BLR,210,,1.0,,3,77,72,82,-4.788888888888891,Autres
30,31,31,BTRUS20907199301,PAVLOVA Evgeniya,PAVLOVA E.,RUS,208,,-2.0,,1,84,80,87,2.2111111111111086,Autres
31,32,32,BTSUI20304198401,GASPARIN Selina,GASPARIN S.,SUI,205,,-2.0,,3,79,70,87,-2.7888888888888914,Autres
32,33,33,BTUSA21911198701,EGAN Clare,EGAN C.,USA,204,,3.0,,1,82,76,88,0.21111111111110858,Autres
33,34,34,BTRUS22910199701,KAZAKEVICH Irina,KAZAKEVICH I.,RUS,204,,3.0,U25 ,2,80,70,90,-1.7888888888888914,Autres
34,35,35,BTPOL22708199101,HOJNISZ-STAREGA Monika,HOJNISZ-STAREGA M.,POL,194,,3.0,,1,86,85,88,4.211111111111109,Autres
35,36,36,BTNOR20504199701,LIEN Ida,LIEN I.,NOR,189,,-2.0,U25 ,3,78,66,90,-3.7888888888888914,Autres
36,37,37,BTAUT22101199601,SCHWAIGER Julia,SCHWAIGER J.,AUT,181,,-2.0,U25 ,1,85,83,86,3.2111111111111086,Autres
37,38,38,BTSWE22905199401,SKOTTHEIM Johanna,SKOTTHEIM J.,SWE,177,,2.0,,0,88,88,89,6.211111111111109,Autres
38,39,39,BTUKR20901198701,PIDHRUSHNA Olena,PIDHRUSHNA O.,UKR,176,,2.0,,1,84,83,86,2.2111111111111086,Autres
39,40,40,BTGER22410198902,HAMMERSCHMIDT Maren,HAMMERSCHMIDT M.,GER,164,,,,-1,87,87,87,5.211111111111109,Autres
40,41,41,BTRUS21212199001,KUKLINA Larisa,KUKLINA L.,RUS,148,,,,0,84,82,86,2.2111111111111086,Autres
41,42,42,BTLAT22706199101,BENDIKA Baiba,BENDIKA B.,LAT,127,,,,2,76,65,87,-5.788888888888891,Autres
42,43,43,BTSUI22310199101,CADURISCH Irene,CADURISCH I.,SUI,121,,-2.0,,0,83,75,90,1.2111111111111086,Autres
43,44,44,BTEST20401199501,TOMINGAS Tuuli,TOMINGAS T.,EST,120,,1.0,,0,80,70,89,-1.7888888888888914,Autres
44,45,45,BTFRA20211199501,CHEVALIER Chloe,CHEVALIER C.,FRA,118,,1.0,,2,78,74,81,-3.7888888888888914,Francaise
45,46,46,BTSUI20212199101,GASPARIN Elisa,GASPARIN E.,SUI,105,,,,0,82,70,94,0.21111111111110858,Autres
46,47,47,BTFIN20911198701,EDER Mari,EDER M.,FIN,103,,,,3,78,68,89,-3.7888888888888914,Autres
47,48,48,BTBLR23007199101,KRYUKO Iryna,KRYUKO I.,BLR,97,,,,1,82,80,84,0.21111111111110858,Autres
48,49,49,BTSUI20902199401,GASPARIN Aita,GASPARIN A.,SUI,96,,,,0,83,82,84,1.2111111111111086,Autres
49,50,50,BTUSA22502198301,DUNKLEE Susan,DUNKLEE S.,USA,95,,,,0,79,75,83,-2.7888888888888914,Autres
