,Rank,ResultOrder,IBUId,Name,ShortName,Nat,Score,Diff,RnkDiff,Groups,ski,shoot,standing,prone,shoot_demeaned,Rank_lettres
0,1,1,BTNOR11605199301,BOE Johannes Thingnes,BOE J.,NOR,955,,,,6,85,82,88,2.242105263157896,Premier
1,2,2,BTNOR12002199701,LAEGREID Sturla Holm,LAEGREID S.,NOR,922,,,U25 ,3,93,90,96,10.242105263157896,Second
2,3,3,BTNOR12907198801,BOE Tarjei,BOE T.,NOR,763,,-2.0,,4,85,80,91,2.242105263157896,Troisieme
3,4,4,BTFRA11608199201,FILLON MAILLET Quentin,FILLON MAILLET Q.,FRA,752,,,,4,89,92,86,6.242105263157896,Francais
4,5,5,BTNOR12305199701,DALE Johannes,DALE J.,NOR,749,,2.0,U25 ,4,85,79,90,2.242105263157896,Autres
5,6,6,BTSWE12803199701,SAMUELSSON Sebastian,SAMUELSSON S.,SWE,700,,,U25 ,3,88,87,90,5.242105263157896,Autres
6,7,7,BTFRA11107199501,JACQUELIN Emilien,JACQUELIN E.,FRA,687,,,,3,87,86,89,4.242105263157896,Francais
7,8,8,BTSWE10809199501,PONSILUOMA Martin,PONSILUOMA M.,SWE,608,,,,4,80,83,76,-2.757894736842104,Autres
8,9,9,BTGER11803198701,PEIFFER Arnd,PEIFFER A.,GER,600,,,,3,89,85,93,6.242105263157896,Autres
9,10,10,BTITA13009198901,HOFER Lukas,HOFER L.,ITA,590,,,,3,84,79,88,1.242105263157896,Autres
10,11,11,BTCRO10108198701,FAK Jakov,FAK J.,SLO,583,,,,2,90,87,94,7.242105263157896,Autres
11,12,12,BTFRA10312199101,DESTHIEUX Simon,DESTHIEUX S.,FRA,570,,,,3,85,83,87,2.242105263157896,Francais
12,13,13,BTGER12403199001,DOLL Benedikt,DOLL B.,GER,535,,,,3,83,81,85,0.24210526315789593,Autres
13,14,14,BTAUT12302198301,EDER Simon,EDER S.,AUT,487,,,,0,94,92,96,11.242105263157896,Autres
14,15,15,BTRUS13101199201,LOGINOV Alexander,LOGINOV A.,RUS,469,,-1.0,,3,86,82,90,3.242105263157896,Autres
