,Unnamed: 0,saison,Pays,0,text
0,2,2000/2001,France,6.0,La France
1,3,2000/2001,Allemagne,2.0,L'Allemagne
2,4,2000/2001,Norvège,11.0,La Norvège
3,5,2000/2001,Russie,4.0,La Russie
4,8,2001/2002,France,7.0,La France
5,9,2001/2002,Allemagne,5.0,L'Allemagne
6,10,2001/2002,Norvège,5.0,La Norvège
7,11,2001/2002,Russie,4.0,La Russie
8,13,2002/2003,France,2.0,La France
9,14,2002/2003,Allemagne,3.0,L'Allemagne
10,15,2002/2003,Norvège,13.0,La Norvège
11,18,2003/2004,France,12.0,La France
12,19,2003/2004,Allemagne,3.0,L'Allemagne
13,20,2003/2004,Norvège,10.0,La Norvège
14,21,2003/2004,Russie,2.0,La Russie
15,24,2004/2005,France,3.0,La France
16,25,2004/2005,Allemagne,6.0,L'Allemagne
17,26,2004/2005,Norvège,14.0,La Norvège
18,27,2004/2005,Russie,2.0,La Russie
19,28,2005/2006,France,3.0,La France
20,29,2005/2006,Allemagne,8.0,L'Allemagne
21,30,2005/2006,Norvège,13.0,La Norvège
22,34,2006/2007,France,6.0,La France
23,35,2006/2007,Allemagne,4.0,L'Allemagne
24,36,2006/2007,Norvège,11.0,La Norvège
25,37,2006/2007,Russie,4.0,La Russie
26,39,2007/2008,France,1.0,La France
27,40,2007/2008,Allemagne,4.0,L'Allemagne
28,41,2007/2008,Norvège,13.0,La Norvège
29,43,2007/2008,Russie,4.0,La Russie
30,46,2008/2009,France,1.0,La France
31,47,2008/2009,Allemagne,4.0,L'Allemagne
32,48,2008/2009,Norvège,14.0,La Norvège
33,50,2008/2009,Russie,2.0,La Russie
34,53,2009/2010,France,4.0,La France
35,54,2009/2010,Allemagne,1.0,L'Allemagne
36,55,2009/2010,Norvège,8.0,La Norvège
37,56,2009/2010,Russie,7.0,La Russie
38,60,2010/2011,France,4.0,La France
39,61,2010/2011,Allemagne,3.0,L'Allemagne
40,62,2010/2011,Norvège,15.0,La Norvège
41,63,2010/2011,Russie,1.0,La Russie
42,65,2011/2012,France,8.0,La France
43,66,2011/2012,Allemagne,5.0,L'Allemagne
44,67,2011/2012,Norvège,6.0,La Norvège
45,68,2011/2012,Russie,3.0,La Russie
46,74,2012/2013,France,10.0,La France
47,75,2012/2013,Allemagne,2.0,L'Allemagne
48,76,2012/2013,Norvège,5.0,La Norvège
49,77,2012/2013,Russie,4.0,La Russie
50,80,2013/2014,France,8.0,La France
51,81,2013/2014,Allemagne,2.0,L'Allemagne
52,83,2013/2014,Norvège,12.0,La Norvège
53,84,2013/2014,Russie,1.0,La Russie
54,88,2014/2015,France,8.0,La France
55,89,2014/2015,Allemagne,5.0,L'Allemagne
56,90,2014/2015,Norvège,5.0,La Norvège
57,91,2014/2015,Russie,2.0,La Russie
58,94,2015/2016,France,12.0,La France
59,95,2015/2016,Allemagne,6.0,L'Allemagne
60,97,2015/2016,Norvège,4.0,La Norvège
61,98,2015/2016,Russie,1.0,La Russie
62,100,2016/2017,France,14.0,La France
63,101,2016/2017,Allemagne,4.0,L'Allemagne
64,102,2016/2017,Norvège,2.0,La Norvège
65,103,2016/2017,Russie,3.0,La Russie
66,106,2017/2018,France,11.0,La France
67,107,2017/2018,Allemagne,1.0,L'Allemagne
68,108,2017/2018,Norvège,11.0,La Norvège
69,109,2017/2018,Russie,2.0,La Russie
70,110,2018/2019,France,5.0,La France
71,111,2018/2019,Allemagne,1.0,L'Allemagne
72,113,2018/2019,Norvège,17.0,La Norvège
73,114,2018/2019,Russie,1.0,La Russie
74,116,2019/2020,France,9.0,La France
75,117,2019/2020,Allemagne,1.0,L'Allemagne
76,118,2019/2020,Norvège,10.0,La Norvège
77,119,2019/2020,Russie,1.0,La Russie
78,120,2020/2021,France,2.0,La France
79,121,2020/2021,Allemagne,1.0,L'Allemagne
80,122,2020/2021,Norvège,12.0,La Norvège
81,123,2020/2021,Russie,1.0,La Russie
